"Name","School","Rating"
"Kiki McIntyre","Longwood Lancers",85.3
"Taryn Barbot","Charleston Cougars",85.3
"Paris Bradley","Louisiana Tech Lady Techsters",85.3
"Avery Collins","Concordia-Ann Arbor Cardinals",85.3
"Catherine Or","Carnegie Mellon Tartans",85.3
"Lashae Dwyer","St. John's Red Storm",85.2
"Alexis Markowski","Nebraska Cornhuskers",85.2
"Anaya Brown","UT Martin Skyhawks",85.2
"Gracie Gallegos","UC San Diego Tritons",85.2
"Josie Hill","Chicago State Cougars",85.2
"Maia Jones","Saint Mary's Gaels",85.2
"Kyrah Daniels","Missouri State Lady Bears",85.2
"Raelyn Kelty","Concordia Nebraska Bulldogs",85.2
"Izabela Nicoletti Leite","Fairfield Stags",85.1
"Loyal McQueen","Clemson Tigers",85.1
"Courtney Becker","Drake Bulldogs",85.1
"Sammi Mikonowicz","Toledo Rockets",85.1
"Alyssa Hargrove","New Mexico Lobos",85.1
"Olivia Olsen","Providence Friars",85.1
"Zanai Jones","SMU Mustangs",85.1
"Kilyn McGuff","Butler Bulldogs",85.1
"Hadley Periman","Tulsa Golden Hurricane",85.1
"Teresa Seppala","Siena Saints",85.1
"Jade Weathersby","UAB Blazers",85.1
"Kiera Pemberton","North Dakota Fighting Hawks",85.1
"Jaiden Ross","Webber International Warriors",85.1
"Ioanna Krimili","California Golden Bears",85
"Kara Dunn","Georgia Tech Yellow Jackets",85
"Savannah Tucker","Long Beach State Beach",85
"Mireia Aguado","Texas A&M-Corpus Christi Islanders",85
"Lauren Ross","Purdue Fort Wayne Mastodons",85
"Enjulina Gonzalez","Miami (OH) RedHawks",85
"Brooklyn Meyer","South Dakota State Jackrabbits",85
"Kate Ellis","Findlay Oilers",85
"Sumayah Sugapong","UC San Diego Tritons",85
"Jordan Holman","Little Rock Trojans",85
"Gianna Corbitt","Chattanooga Mocs",85
"Fiona Snashall","Regis Rangers",85
"Bella Smuda","Liberty Flames",84.9
"Hannah Spitzley","Western Michigan Broncos",84.9
"Courtney Blakely","Middle Tennessee Blue Raiders",84.9
