player,team,conf,pos,g,mpg,ppg,rpg,apg,spg,bpg,ts,efg,tpar,team_z,sos_z,opp_z_w,rating_raw,rating
Chinenye Odenigbo,Massachusetts Minutewomen,A10,Center,32,19.284895833333334,4.9375,4.5625,0.78125,0.96875,0.75,0.518236683285227,0.5035460992907801,0,0.7113781715194641,-0.14917235929296108,0,70.24538274599357,70
Saniyah Glenn-Bello,Harvard Crimson,Ivy League,Forward,24,23.129166666666666,5.666666666666667,3.5,1.2083333333333333,0.9166666666666666,0.7083333333333334,0.4697430229345123,0.4393939393939394,0.4393939393939394,1.2742678386469821,0.2846866951284244,0,70.23660624187029,70
Alexis Pettis,Eastern Washington Eagles,Big Sky,Forward,30,26.026666666666664,8.933333333333334,3.1666666666666665,1.3666666666666667,1.3666666666666667,0.13333333333333333,0.4445329087048832,0.4175627240143369,0.24014336917562723,0.4831810809824383,-0.04324858701772068,0,70.22783517702034,70
MeiLani McBee,Hawai'i Rainbow Wahine,Big West,Guard,31,26.4005376344086,6.709677419354839,3.5483870967741935,0.7419354838709677,1.096774193548387,0.3548387096774194,0.497131931166348,0.46938775510204084,0.7551020408163265,0.6855636176645103,-0.3294558202709352,0,70.2190695510038,70
Gia Powell,Brown Bears,Ivy League,Guard,24,23.722222222222225,7.5,1.2083333333333333,0.8333333333333334,0.625,0.08333333333333333,0.4408307210031348,0.4318181818181818,0.6161616161616161,0.5221276953446389,0.09138377662531968,0,70.21030936338053,70
Jolene Armendariz,La Salle Explorers,A10,Guard,32,19.380208333333332,5.34375,4.125,1.03125,0.625,0.125,0.44689525402467073,0.4273743016759777,0.6759776536312849,0.24626590052214506,0.3064045083862029,0,70.20155461371019,70
Caia Elisaldez,Chattanooga Mocs,SoCon,Guard,31,36.33763440860215,13.838709677419354,2.6774193548387095,4.709677419354839,1.096774193548387,0,0.5519246603540552,0.5102339181286549,0.2134502923976608,0.5374949042596726,-0.3829406585139382,0,70.19280530155224,70
Sumayah Sugapong,UC San Diego Tritons,Big West,Guard,33,33.395959595959596,14.454545454545455,4.181818181818182,3.8181818181818183,2.4545454545454546,0.36363636363636365,0.42929656562747504,0.3812375249500998,0.2694610778443114,0.5396434869845568,-0.6518635366269001,0,70.18406142646595,70
Jordan Hunter,Auburn Tigers,SEC,Guard,30,13.860555555555555,2.5,0.9666666666666667,1.5666666666666667,0.5333333333333333,0.06666666666666667,0.3505983545250561,0.33495145631067963,0.4368932038834951,1.2258123803758216,1.738751199446687,0,70.17532298801034,70
Waiata Jennings,Baylor Bears,B12,Guard,36,9.065277777777778,1.6944444444444444,0.9166666666666666,0.4166666666666667,0.6666666666666666,0.08333333333333333,0.5280470914127424,0.5089285714285714,0.6785714285714286,1.6680810912307151,1.4629807060692277,0,70.16658998574431,70
