Player,School,Rating,School_key,Conf,conf_tier,penalty_conf,Rating_add,conf_mult,gap,Rating_conf
Micah Parrish,Ohio St.,87.4,ohio st,Big Ten,tier1,0.8,88.2,1,0,90
Tyler McGhie,UC San Diego,87.4,uc san diego,Big West,low,-2,85.4,0.7,0,90
Jaden Brownell,Samford,87.4,samford,SoCon,low,-2,85.4,0.7,0,90
Kendall Blue,St. Thomas,87.4,st thomas,Summit League,low,-2,85.4,0.7,0,90
Kalu Anya,Saint Louis,87.4,saint louis,A10,mid,-0.4,87,0.9,0,90
Cameron Corhen,Pittsburgh,87.4,pittsburgh,ACC,tier1,0.8,88.2,1,0,90
Jeremy Fears Jr.,Michigan St.,87.4,michigan st,Big Ten,tier1,0.8,88.2,1,0,90
Masiah Gilyard,Manhattan,87.4,manhattan,MAAC,low,-2,85.4,0.7,0,90
Connor Kochera,Davidson,87.3,davidson,A10,mid,-0.4,86.89999999999999,0.9,0,90
Drake Dobbs,St. Thomas,87.3,st thomas,Summit League,low,-2,85.3,0.7,0,90
Chris Howell,UC San Diego,87.3,uc san diego,Big West,low,-2,85.3,0.7,0,90
Trevon Brazile,Arkansas,87.3,arkansas,SEC,tier1,0.8,88.1,1,0,90
Aidan Hadaway,Ohio,87.3,ohio,MAC,low,-2,85.3,0.7,0,90
Ugnius Jarusevicius,Central Michigan,87.3,central michigan,MAC,low,-2,85.3,0.7,0,90
Lamar Wilkerson,Sam Houston St.,87.3,sam houston st,CUSA,mid,-0.4,86.89999999999999,0.9,0,90
Samage Teel,Indiana St.,87.3,indiana st,MVC,mid,-0.4,86.89999999999999,0.9,0,90
Blaise Threatt,Weber St.,87.3,weber st,Big Sky,low,-2,85.3,0.7,0,90
Dylan Faulkner,Lipscomb,87.3,lipscomb,ASUN,low,-2,85.3,0.7,0,90
Brooks Barnhizer,Northwestern,87.2,northwestern,Big Ten,tier1,0.8,88,1,0,90
Fousseyni Traore,BYU,87.2,byu,B12,tier1,0.8,88,1,0,90
Jizzle James,Cincinnati,87.2,cincinnati,B12,tier1,0.8,88,1,0,90
Puff Johnson,Penn St.,87.1,penn st,Big Ten,tier1,0.8,87.89999999999999,1,0,90
Max Klesmit,Wisconsin,87.1,wisconsin,Big Ten,tier1,0.8,87.89999999999999,1,0,90
Izaiyah Nelson,Arkansas St.,87.1,arkansas st,Sun Belt,mid,-0.4,86.69999999999999,0.9,0,90
Nick Martinelli,Northwestern,87.1,northwestern,Big Ten,tier1,0.8,87.89999999999999,1,0,90
Adam Clark,Merrimack,87.1,merrimack,MAAC,low,-2,85.1,0.7,0,90
Tidjiane Dioumassi,Southern,87.1,southern,SWAC,low,-2,85.1,0.7,0,90
Carter Bryant,Arizona,87.1,arizona,B12,tier1,0.8,87.89999999999999,1,0,90
Micah Peavy,Georgetown,87,georgetown,Big East,tier1,0.8,87.8,1,0,90
Ray'Sean Taylor,SIU Edwardsville,87,siu edwardsville,OVC,low,-2,85,0.7,0,90
Jonas Aidoo,Arkansas,87,arkansas,SEC,tier1,0.8,87.8,1,0,90
Matt Allocco,Notre Dame,87,notre dame,ACC,tier1,0.8,87.8,1,0,90
Kimani Hamilton,High Point,87,high point,Big South,low,-2,85,0.7,0,90
Ryan Curry,Army,87,army,Patriot,low,-2,85,0.7,0,90
Tyler Harris,Washington,87,washington,Big Ten,tier1,0.8,87.8,1,0,90
Doctor Bradley,Arkansas Pine Bluff,87,arkansas pine bluff,SWAC,low,-2,85,0.7,0,90
Joe Pridgen,Montana,86.9,montana,Big Sky,low,-2,84.9,0.7,0,90
Donovan Newby,UNC Wilmington,86.9,unc wilmington,CAA,low,-2,84.9,0.7,0,90
Carter Whitt,Belmont,86.9,belmont,MVC,mid,-0.4,86.5,0.9,0,90
Pierre Brooks,Butler,86.9,butler,Big East,tier1,0.8,87.7,1,0,90
Jaxon Kohler,Michigan St.,86.9,michigan st,Big Ten,tier1,0.8,87.7,1,0,90
Milan Momcilovic,Iowa St.,86.9,iowa st,B12,tier1,0.8,87.7,1,0,90
Connor Withers,Bryant,86.8,bryant,AEC,low,-2,84.8,0.7,0,90
Tramon Mark,Texas,86.8,texas,SEC,tier1,0.8,87.6,1,0,90
Jaden Seymour,East Tennessee St.,86.8,east tennessee st,SoCon,low,-2,84.8,0.7,0,90
John Camden,Delaware,86.8,delaware,CAA,low,-2,84.8,0.7,0,90
Trey Campbell,Northern Iowa,86.8,northern iowa,MVC,mid,-0.4,86.39999999999999,0.9,0,90
Tyeree Bryan,Santa Clara,86.8,santa clara,WCC,mid,-0.4,86.39999999999999,0.9,0,90
Miles Rubin,Loyola Chicago,86.8,loyola chicago,A10,mid,-0.4,86.39999999999999,0.9,0,90
Khalif Battle,Gonzaga,86.7,gonzaga,WCC,mid,-0.4,86.3,0.9,0,90
